narration_id,participant_id,video_id,narration_timestamp,start_timestamp,stop_timestamp,start_frame,stop_frame,narration,verb,verb_class,noun,noun_class,all_nouns,all_noun_classes
P01_04_0,P01,P01_04,00:00:00.780,00:00:00.11,00:00:03.04,6,182,take cup,take,0,cup,13,['cup'],[13]
P01_04_1,P01,P01_04,00:00:03.480,00:00:02.87,00:00:05.10,172,306,put down cup,put-down,1,cup,13,['cup'],[13]
P01_04_10,P01,P01_04,00:00:31.750,00:00:30.75,00:00:35.04,1845,2102,fold tablecloth,fold,28,tablecloth,17,['tablecloth'],[17]
P01_04_11,P01,P01_04,00:00:37.410,00:00:37.33,00:00:38.81,2239,2328,pull down tablecloth,pull-down,31,tablecloth,17,['tablecloth'],[17]
P01_04_12,P01,P01_04,00:00:41.899,00:00:41.36,00:00:42.13,2481,2527,take washing up liquid,take,0,liquid:washing:up,22,['liquid:washing:up'],[22]
P01_04_13,P01,P01_04,00:00:43.170,00:00:42.17,00:00:44.47,2530,2668,pour washing up liquid into cup,pour,9,liquid:washing:up,22,"['liquid:washing:up', 'cup']","[22, 13]"
P01_04_14,P01,P01_04,00:00:46.819,00:00:45.27,00:00:46.81,2716,2808,open tap,turn-on,6,tap,0,['tap'],[0]
P01_04_15,P01,P01_04,00:00:49.050,00:00:46.91,00:00:52.41,2814,3144,wash cup,wash,2,cup,13,['cup'],[13]
P01_04_16,P01,P01_04,00:00:53.859,00:00:52.51,00:00:56.16,3150,3369,rinse spoon,rinse,2,spoon,1,['spoon'],[1]
P01_04_17,P01,P01_04,00:00:58.039,00:00:57.32,00:01:02.67,3439,3760,rinse cup,rinse,2,cup,13,['cup'],[13]
P01_04_18,P01,P01_04,00:01:02.839,00:01:02.30,00:01:02.99,3738,3779,turn tap,turn,23,tap,0,['tap'],[0]
P01_04_19,P01,P01_04,00:01:05.740,00:01:03.51,00:01:07.21,3810,4032,pull down cup,pull-down,31,cup,13,['cup'],[13]
P01_04_2,P01,P01_04,00:00:06.200,00:00:06.15,00:00:06.77,369,406,take cereal bag,take,0,bag:cereal,19,['bag:cereal'],[19]
P01_04_20,P01,P01_04,00:01:10.210,00:01:08.65,00:01:11.30,4119,4278,rinse sink,rinse,2,sink,63,['sink'],[63]
P01_04_21,P01,P01_04,00:01:13.469,00:01:09.29,00:01:11.79,4157,4307,rinse hands,rinse,2,hand,11,['hand'],[11]
P01_04_22,P01,P01_04,00:01:11.750,00:01:11.40,00:01:12.08,4284,4324,close tap,turn-off,8,tap,0,['tap'],[0]
P01_04_23,P01,P01_04,00:01:15.320,00:01:14.35,00:01:19.44,4461,4766,dry hands,dry,14,hand,11,['hand'],[11]
P01_04_24,P01,P01_04,00:01:21.180,00:01:19.79,00:01:22.04,4787,4922,take bottle,take,0,bottle,15,['bottle'],[15]
P01_04_25,P01,P01_04,00:01:22.930,00:01:22.14,00:01:25.14,4928,5108,open bottle,open,3,bottle,15,['bottle'],[15]
P01_04_26,P01,P01_04,00:01:26.049,00:01:25.37,00:01:26.12,5122,5167,take glass,take,0,glass,10,['glass'],[10]
P01_04_27,P01,P01_04,00:01:27.049,00:01:26.34,00:01:30.61,5180,5436,pour water,pour,9,water,27,['water'],[27]
P01_04_28,P01,P01_04,00:01:31.500,00:01:31.07,00:01:38.60,5464,5916,drink water,drink,60,water,27,['water'],[27]
P01_04_29,P01,P01_04,00:01:32.500,00:01:37.91,00:01:40.35,5874,6021,put down bottle,put-down,1,bottle,15,['bottle'],[15]
P01_04_3,P01,P01_04,00:00:07.890,00:00:07.26,00:00:10.26,435,615,fold cereal bag,fold,28,bag:cereal,19,['bag:cereal'],[19]
P01_04_30,P01,P01_04,00:01:40.200,00:01:38.95,00:01:40.61,5937,6036,put down glass,put-down,1,glass,10,['glass'],[10]
P01_04_31,P01,P01_04,00:01:41.200,00:01:40.49,00:01:41.99,6029,6119,take container,take,0,container,21,['container'],[21]
P01_04_4,P01,P01_04,00:00:08.910,00:00:10.36,00:00:14.11,621,846,put cereal bag into cereal box,put-into,5,bag:cereal,19,"['bag:cereal', 'box:cereal']","[19, 23]"
P01_04_5,P01,P01_04,00:00:14.730,00:00:14.21,00:00:17.21,852,1032,close cereal box,close,4,box:cereal,23,['box:cereal'],[23]
P01_04_6,P01,P01_04,00:00:19.260,00:00:18.91,00:00:20.16,1134,1209,open cupboard,open,3,cupboard,3,['cupboard'],[3]
P01_04_7,P01,P01_04,00:00:20.260,00:00:19.68,00:00:22.71,1180,1362,put down cereal box,put-down,1,box:cereal,23,['box:cereal'],[23]
P01_04_8,P01,P01_04,00:00:23.490,00:00:22.78,00:00:24.28,1366,1456,close cupboard,close,4,cupboard,3,['cupboard'],[3]
P01_04_9,P01,P01_04,00:00:26.010,00:00:25.74,00:00:30.67,1544,1840,take tablecloth,take,0,tablecloth,17,['tablecloth'],[17]